"Origin","Carrier","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay"
"JNU","AS",1441,850,485,0,993,3769
"KOA","AA",1620,0,38,0,263,1921
"KOA","AS",659,0,60,66,602,1387
"KOA","DL",89,0,25,0,143,257
"KOA","HA",685,537,313,10,3772,5317
"KOA","UA",74,0,12,0,1425,1511
"KTN","AS",313,211,217,0,231,972
"LAN","EV",4,0,73,0,421,498
"LAN","OO",1395,0,96,0,1342,2833
"LAR","OO",8,0,64,0,32,104
"LAS","AA",2380,0,2210,0,3431,8021
"LAS","AS",1020,5,538,40,1474,3077
"LAS","B6",1961,32,1432,7,5480,8912
"LAS","DL",1778,196,1725,0,2032,5731
"LAS","F9",828,0,661,0,1001,2490
"LAS","HA",789,66,0,0,106,961
"LAS","NK",1549,0,4046,0,1580,7175
"LAS","OO",0,0,327,0,362,689
"LAS","UA",1892,16,5477,0,1656,9041
"LAS","VX",676,21,4410,0,2719,7826
"LAS","WN",11078,1479,9432,2,20409,42400
"LAX","AA",8483,238,5276,0,7882,21879
"LAX","AS",2692,143,1941,0,5007,9783
"LAX","B6",2023,64,1817,0,3744,7648
"LAX","DL",13195,1670,4543,19,16399,35826
"LAX","F9",578,0,199,0,532,1309
"LAX","HA",2166,53,17,21,75,2332
"LAX","NK",1880,0,6551,46,2160,10637
"LAX","OO",19184,1931,7055,0,38597,66767
"LAX","UA",7197,98,6010,0,9981,23286
"LAX","VX",2447,1483,9691,88,6787,20496
"LAX","WN",11115,1007,7714,27,37899,57762
"LBB","AA",175,0,0,0,0,175
"LBB","EV",30,52,76,0,205,363
"LBB","OO",0,0,60,0,21,81
"LBB","WN",205,0,40,0,483,728
"LBE","NK",50,0,129,0,181,360
"LCH","EV",659,0,251,0,414,1324
"LEX","DL",172,0,47,0,242,461
"LEX","EV",2083,0,1492,0,1085,4660
"LEX","OO",1743,75,220,0,2270,4308
"LFT","DL",50,0,3,0,0,53
"LFT","EV",514,54,2170,0,1123,3861
"LGA","AA",3117,671,2385,0,4772,10945
"LGA","B6",2408,31,839,0,2846,6124
"LGA","DL",5785,5645,2255,0,9195,22880
"LGA","EV",5869,0,1695,0,7805,15369
"LGA","F9",39,0,117,0,804,960
"LGA","NK",247,0,1912,0,341,2500
"LGA","OO",0,0,308,0,200,508
"LGA","UA",2125,927,709,0,2256,6017
"LGA","VX",40,0,169,0,292,501
"LGA","WN",1392,356,1909,15,4643,8315
"LGB","B6",4030,150,2354,73,6679,13286
"LGB","OO",172,35,37,0,46,290
"LGB","WN",829,0,123,0,877,1829
"LIH","AA",186,0,106,0,26,318
"LIH","AS",216,93,101,0,684,1094
"LIH","DL",136,0,24,0,413,573
"LIH","HA",680,750,132,0,5436,6998
"LIH","UA",452,0,21,0,741,1214
"LIT","DL",101,0,79,0,118,298
"LIT","EV",540,8,339,0,1599,2486
"LIT","OO",110,0,5,0,11,126
