"","Origin","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay","DLdelay","EVdelay","OOdelay","AAdelay","ASdelay","B6delay","F9delay","HAdelay","NKdelay","UAdelay","VXdelay","WNdelay"
"129","HOU",9081,1574,5910,0,9279,25844,818,137,0,0,0,772,0,0,0,0,0,24117
"130","HPN",2685,70,775,4,3037,6571,0,1599,0,0,0,4972,0,0,0,0,0,0
"131","HRL",311,102,258,0,526,1197,0,121,0,0,0,0,0,0,0,0,0,1076
"132","HSV",316,53,168,0,126,663,331,332,0,0,0,0,0,0,0,0,0,0
"133","HYS",49,0,30,0,125,204,0,0,204,0,0,0,0,0,0,0,0,0
"134","IAD",7253,1106,9511,0,7925,25795,1805,0,30,2279,236,1133,203,0,0,17145,2373,591
"135","IAG",91,0,1273,0,141,1505,0,0,0,0,0,0,0,0,1505,0,0,0
"136","IAH",28721,4041,23469,0,27042,83273,750,24922,8033,6128,305,0,538,0,3497,39100,0,0
"137","ICT",965,0,432,0,1653,3050,0,1115,1500,15,0,0,0,0,0,284,0,136
"138","IDA",808,0,400,0,542,1750,0,0,1750,0,0,0,0,0,0,0,0,0
"139","IFP",20,0,102,0,399,521,0,0,521,0,0,0,0,0,0,0,0,0
"140","ILM",1767,0,151,0,642,2560,0,656,1704,200,0,0,0,0,0,0,0,0
"141","IMT",1131,0,56,0,259,1446,0,0,1446,0,0,0,0,0,0,0,0,0
"142","IND",2475,572,2761,0,4285,10093,699,1978,640,1999,0,0,213,0,0,564,0,4000
"143","INL",214,0,67,0,182,463,0,0,463,0,0,0,0,0,0,0,0,0
"144","ISN",954,0,18,0,18,990,0,0,990,0,0,0,0,0,0,0,0,0
"145","ISP",801,391,454,0,622,2268,0,0,0,0,0,0,0,0,0,0,0,2268
"146","ITH",183,0,134,0,313,630,0,0,630,0,0,0,0,0,0,0,0,0
"147","ITO",596,487,265,0,3486,4834,0,0,0,0,0,0,0,4776,0,58,0,0
"148","JAC",2450,1699,3430,0,5783,13362,2156,0,4576,1960,0,0,0,0,0,4670,0,0
"149","JAN",273,83,1301,0,515,2172,445,1727,0,0,0,0,0,0,0,0,0,0
"150","JAX",4117,109,2252,0,2666,9144,1343,274,0,789,0,2872,0,0,0,2810,0,1056
"151","JFK",26449,14498,33994,158,19623,94722,26926,0,0,21002,637,38960,0,1047,0,0,6150,0
"152","JMS",155,18,45,0,1473,1691,0,0,1691,0,0,0,0,0,0,0,0,0
"153","JNU",1441,850,485,0,993,3769,0,0,0,0,3769,0,0,0,0,0,0,0
"154","KOA",3127,537,448,76,6205,10393,257,0,0,1921,1387,0,0,5317,0,1511,0,0
"155","KTN",313,211,217,0,231,972,0,0,0,0,972,0,0,0,0,0,0,0
"156","LAN",1399,0,169,0,1763,3331,0,498,2833,0,0,0,0,0,0,0,0,0
"157","LAR",8,0,64,0,32,104,0,0,104,0,0,0,0,0,0,0,0,0
"158","LAS",23951,1815,30258,49,40250,96323,5731,0,689,8021,3077,8912,2490,961,7175,9041,7826,42400
"159","LAX",70960,6687,50814,201,129063,257725,35826,0,66767,21879,9783,7648,1309,2332,10637,23286,20496,57762
"160","LBB",410,52,176,0,709,1347,0,363,81,175,0,0,0,0,0,0,0,728
"161","LBE",50,0,129,0,181,360,0,0,0,0,0,0,0,0,360,0,0,0
"162","LCH",659,0,251,0,414,1324,0,1324,0,0,0,0,0,0,0,0,0,0
"163","LEX",3998,75,1759,0,3597,9429,461,4660,4308,0,0,0,0,0,0,0,0,0
"164","LFT",564,54,2173,0,1123,3914,53,3861,0,0,0,0,0,0,0,0,0,0
"165","LGA",21022,7630,12298,15,33154,74119,22880,15369,508,10945,0,6124,960,0,2500,6017,501,8315
"166","LGB",5031,185,2514,73,7602,15405,0,0,290,0,0,13286,0,0,0,0,0,1829
"167","LIH",1670,843,384,0,7300,10197,573,0,0,318,1094,0,0,6998,0,1214,0,0
"168","LIT",977,8,668,0,2462,4115,298,2486,126,0,0,0,0,0,0,0,0,1205
"169","LNK",522,3,123,0,494,1142,0,544,598,0,0,0,0,0,0,0,0,0
"170","LRD",658,0,245,0,957,1860,0,1860,0,0,0,0,0,0,0,0,0,0
"171","LSE",764,33,183,0,131,1111,0,0,1111,0,0,0,0,0,0,0,0,0
"172","LWS",0,859,64,0,18,941,0,0,941,0,0,0,0,0,0,0,0,0
"173","MAF",101,172,691,0,1665,2629,0,1010,618,0,0,0,0,0,0,0,0,1001
"174","MBS",432,828,58,0,656,1974,0,0,1974,0,0,0,0,0,0,0,0,0
"175","MCI",5254,244,5526,0,8173,19197,2203,894,1507,806,281,0,683,0,1963,1368,0,9492
"176","MCO",23375,1184,23970,180,31255,79964,9734,146,0,10624,601,21070,8748,0,6829,7937,748,13527
"177","MDT",158,0,227,0,618,1003,89,151,724,39,0,0,0,0,0,0,0,0
"178","MDW",9871,3011,8770,0,14233,35885,283,716,208,0,0,0,0,0,0,0,0,34678
"179","MEI",772,0,112,0,505,1389,0,1389,0,0,0,0,0,0,0,0,0,0
"180","MEM",1678,57,2121,0,2641,6497,681,2406,285,1548,0,0,101,0,0,819,0,657
"181","MFE",328,257,110,0,191,886,0,46,0,336,0,0,0,0,0,504,0,0
"182","MFR",823,0,1280,0,520,2623,0,0,2623,0,0,0,0,0,0,0,0,0
"183","MGM",894,0,122,0,716,1732,0,1732,0,0,0,0,0,0,0,0,0,0
"184","MHT",1992,150,3121,0,836,6099,345,4337,0,0,0,0,0,0,0,0,0,1417
"185","MIA",23714,633,16408,34,15294,56083,6800,0,44,40892,0,0,1856,0,0,6491,0,0
"186","MKE",3454,628,4567,0,5104,13753,871,2465,3467,424,0,0,688,0,0,1136,0,4702
"187","MKG",66,0,210,0,274,550,0,0,550,0,0,0,0,0,0,0,0,0
"188","MLB",4,0,61,0,223,288,288,0,0,0,0,0,0,0,0,0,0,0
"189","MLI",590,178,99,0,574,1441,0,803,638,0,0,0,0,0,0,0,0,0
"190","MLU",1497,0,381,0,1547,3425,0,3425,0,0,0,0,0,0,0,0,0,0
"191","MMH",58,0,152,0,283,493,0,0,493,0,0,0,0,0,0,0,0,0
"192","MOB",2394,0,520,0,1171,4085,106,3979,0,0,0,0,0,0,0,0,0,0
"193","MOT",1746,0,64,0,147,1957,0,0,1957,0,0,0,0,0,0,0,0,0
"194","MQT",967,0,135,0,253,1355,0,0,1355,0,0,0,0,0,0,0,0,0
"195","MRY",587,0,1084,0,1991,3662,0,0,3662,0,0,0,0,0,0,0,0,0
"196","MSN",3880,198,1262,0,1560,6900,924,755,4333,0,0,0,81,0,0,807,0,0
"197","MSO",1554,729,95,0,430,2808,616,0,2192,0,0,0,0,0,0,0,0,0
"198","MSP",16894,1474,19980,0,11855,50203,20771,2096,13953,3126,487,0,259,0,3478,3014,0,3019
"199","MSY",4995,496,7848,0,10407,23746,4264,39,0,2073,411,2129,410,0,2649,4719,0,7052
"200","MTJ",375,0,362,0,570,1307,44,128,477,241,0,0,0,0,0,417,0,0
"201","MYR",557,35,1039,0,1882,3513,145,607,0,0,0,0,0,0,2761,0,0,0
"202","OAJ",247,19,29,0,248,543,22,521,0,0,0,0,0,0,0,0,0,0
"203","OAK",10884,1507,8124,18,17411,37944,255,0,584,185,1373,2188,0,1928,2289,0,0,29142
"204","OGG",5410,1394,1119,10,13067,21000,861,0,0,1316,2798,0,0,14549,0,748,728,0
"205","OKC",2556,132,2034,0,2569,7291,243,261,3263,1668,0,0,0,0,0,430,0,1426
"206","OMA",3034,192,3656,0,2872,9754,571,2692,984,953,275,0,588,0,0,1250,0,2441
